"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"1766",5,0,0,0,0,0,1,NA,0,15712.7175001513
"2802",0,0,70,0,0,0,1,NA,0,17527.2577108198
"1816",0,0,0,0,0,0,0,NA,NA,83928.2291558915
"1287",0,0,0,0,5,0,1,NA,0,6212.44087725056
"928",0,4,0,0,0,0,0,NA,0,74948.5033556997
"1820",25,0,0,0,0,0,0,NA,0,23700.5997078796
"623",90,0,0,0,0,0,0,NA,NA,30263.9932351049
"909",10,0,0,0,0,0,0,NA,0,10911.5086737084
"834",0,0,0,0,0,0,0,NA,NA,60231.0327491586
"395",0,0,0,0,0,0,0,NA,NA,45547.8891585334
"869",16,0,0,0,0,0,1,NA,0,16003.0222553316
"606",0,0,0,0,0,0,0,NA,NA,21168.9492299301
"2407",0,0,0,1,0,0,0,NA,NA,17231.6176206453
"2591",0,0,0,0,0,20,0,NA,0,6600.49837030156
"2065",5,0,0,0,0,0,1,NA,0,10563.2181990348
"1589",0,0,0,0,0,0,0,NA,NA,334493.393870968
"941",0,0,0,0,0,0,0,NA,NA,7207.79723773527
"2777",0,0,0,0,0,0,0,NA,NA,12325.9167894237
"2775",0,0,0,0,0,0,0,NA,NA,46748.4491669765
"1454",0,0,0,0,0,0,0,NA,NA,41944.9590479132
"2559",0,0,0,0,NA,0,0,NA,0,11467.862682384
"220",0,135,0,0,0,0,1,0,NA,17898.0821898113
"1199",10,0,0,0,0,0,0,NA,0,10084.0052457429
"1758",0,0,0,0,0,0,1,1,NA,51503.0164285501
"998",0,0,0,0,0,0,0,NA,NA,134690.143133341
"528",0,0,0,0,0,0,0,NA,NA,84831.8553191854
"4",0,0,0,10,0,0,1,NA,0,37669.5551390128
"1751",0,0,0,0,0,0,0,NA,NA,82938.6842248587
"450",0,0,0,0,0,0,0,NA,NA,85484.5713829251
"1739",NA,0,0,0,0,0,0,NA,1,7796.66349883433
"1012",0,0,0,0,0,0,0,NA,NA,65176.0213878278
"1217",0,0,0,0,0,0,0,NA,NA,63247.9906654619
"2053",0,0,0,0,0,0,0,NA,NA,16084.3744827684
"344",0,0,0,0,0,0,0,NA,NA,131433.690714933
"775",0,0,10,0,0,0,1,NA,0,16671.494274495
"1558",0,0,0,0,0,0,0,NA,NA,37736.7431078623
"652",0,0,0,0,0,0,0,NA,NA,78578.617838371
"2687",0,0,0,0,7,0,0,NA,0,10368.7746352238
"680",25,0,0,0,0,0,1,NA,0,22898.6148249301
"140",0,0,0,10,0,0,0,NA,NA,18822.2222668441
"1931",0,0,0,0,0,0,0,NA,NA,14686.1326308147
"2430",17,0,0,0,0,0,1,NA,0,12291.3271605139
"1269",0,0,0,0,0,0,0,NA,NA,60993.3964054344
"444",0,0,0,0,0,0,0,NA,NA,67038.012622671
"413",68,0,0,0,0,0,0,1,NA,6307.76573094636
"1910",11,0,0,0,0,0,0,NA,NA,18618.4645321763
"2253",0,0,0,0,0,0,0,NA,NA,55828.5463304562
"13",0,0,0,0,0,0,0,NA,NA,210656.349966283
"992",0,0,0,0,0,0,0,NA,NA,11245.0844581625
"2008",1,0,0,0,0,0,1,NA,0,22604.1084885307
"2618",0,0,0,0,0,0,0,NA,NA,87506.6808267249
"52",68,0,0,0,0,0,0,NA,0,63235.0305495473
"1292",68,0,0,0,0,0,0,NA,1,33176.6497818445
"2096",5,0,0,0,0,0,0,NA,0,14805.6382659905
"1226",0,0,0,0,0,0,0,NA,NA,17054.6520747423
"558",0,0,0,0,0,0,1,NA,0,19793.9581842019
"1856",10,0,0,0,0,0,0,NA,0,15057.7289939228
"2399",0,0,0,0,0,15,1,NA,0,36738.1407228974
"94",NA,0,0,0,0,0,0,NA,NA,12614.5423582696
"1914",0,0,0,0,0,0,0,NA,0,14887.2511478197
"517",0,0,0,0,15,0,1,NA,0,13146.1921952985
"575",0,0,0,0,0,0,0,NA,NA,64908.3743872426
"1723",0,0,0,0,3,0,0,NA,1,15651.3477451603
"288",0,0,0,0,0,0,0,0,NA,7460.09054646327
"387",0,45,0,0,0,0,0,NA,0,41796.1443544609
